rave_jitter,uniform_rave,use_rave,rave_exploration_bias,score
0.0,false,true,10,47
0.0,false,true,12,43
0.0,false,true,14,39
0.0,false,true,16,47
0.1,false,true,5,44
0.1,false,true,10,37
0.1,false,true,12,41
0.1,false,true,14,37
0.1,false,true,16,42
0.5,false,true,5,44
0.5,false,true,10,48
0.5,false,true,12,42
0.5,false,true,14,45
0.5,false,true,16,48
1.0,false,true,5,45
1.0,false,true,10,41
1.0,false,true,12,44
1.0,false,true,14,45
1.0,false,true,16,36
0.0,false,true,5,44
0.0,false,true,10,42
0.0,false,true,12,37
0.0,false,true,14,44
0.0,false,true,16,42
0.1,false,true,5,39
0.1,false,true,10,45
0.1,false,true,12,45
0.1,false,true,14,39
0.1,false,true,16,43
0.5,false,true,5,43
0.5,false,true,10,44
0.5,false,true,12,46
0.5,false,true,14,44
0.5,false,true,16,46
1.0,false,true,5,41
1.0,false,true,10,45
1.0,false,true,12,49
1.0,false,true,14,43
1.0,false,true,16,48
0.0,false,true,5,43
0.0,false,true,10,37
0.0,false,true,12,44
0.0,false,true,14,44
0.0,false,true,16,36
0.1,false,true,5,37
0.1,false,true,10,43
0.1,false,true,12,41
0.1,false,true,14,40
0.1,false,true,16,42
0.5,false,true,5,38
0.5,false,true,10,42
0.5,false,true,12,43
0.5,false,true,14,41
0.5,false,true,16,41
1.0,false,true,5,45
1.0,false,true,10,48
1.0,false,true,12,47
1.0,false,true,14,46
1.0,false,true,16,42
0.0,false,true,5,43
0.0,false,true,10,45
0.0,false,true,12,49
0.0,false,true,14,45
0.0,false,true,16,41
0.1,false,true,5,47
0.1,false,true,10,44
0.1,false,true,12,33
0.1,false,true,14,48
0.1,false,true,16,45
0.5,false,true,5,40
0.5,false,true,10,41
0.5,false,true,12,41
0.5,false,true,14,47
0.5,false,true,16,40
1.0,false,true,5,41
1.0,false,true,10,45
1.0,false,true,12,45
1.0,false,true,14,46
1.0,false,true,16,52
0.0,false,true,5,45
0.0,false,true,10,43
0.0,false,true,12,42
0.0,false,true,14,46
0.0,false,true,16,47
0.1,false,true,5,42
0.1,false,true,10,48
0.1,false,true,12,45
0.1,false,true,14,52
0.1,false,true,16,40
0.5,false,true,5,46
0.5,false,true,10,41
0.5,false,true,12,47
0.5,false,true,14,42
0.5,false,true,16,41
1.0,false,true,5,46
1.0,false,true,10,45
1.0,false,true,12,40
1.0,false,true,14,46
1.0,false,true,16,45
0.0,false,true,5,42
0.0,false,true,10,46
0.0,false,true,12,42
0.0,false,true,14,46
0.0,false,true,16,48
0.1,false,true,5,44
0.1,false,true,10,47
0.1,false,true,12,45
0.1,false,true,14,48
0.1,false,true,16,44
0.5,false,true,5,43
0.5,false,true,10,39
0.5,false,true,12,42
0.5,false,true,14,51
0.5,false,true,16,46
1.0,false,true,5,42
1.0,false,true,10,45
1.0,false,true,12,43
1.0,false,true,14,31
1.0,false,true,16,40
0.0,false,true,5,39
0.0,false,true,10,42
0.0,false,true,12,42
0.0,false,true,14,42
0.0,false,true,16,42
0.1,false,true,5,42
0.1,false,true,10,44
0.1,false,true,12,42
0.1,false,true,14,45
0.1,false,true,16,44
0.5,false,true,5,47
0.5,false,true,10,37
0.5,false,true,12,39
0.5,false,true,14,39
0.5,false,true,16,45
1.0,false,true,5,42
1.0,false,true,10,42
1.0,false,true,12,35
1.0,false,true,14,47
1.0,false,true,16,37
0.0,false,true,5,42
0.0,false,true,10,43
0.0,false,true,12,52
0.0,false,true,14,36
0.0,false,true,16,45
0.1,false,true,5,45
0.1,false,true,10,47
0.1,false,true,12,48
0.1,false,true,14,48
0.1,false,true,16,39
0.5,false,true,5,47
0.5,false,true,10,49
0.5,false,true,12,42
0.5,false,true,14,48
0.5,false,true,16,44
1.0,false,true,5,44
1.0,false,true,10,37
1.0,false,true,12,43
1.0,false,true,14,44
1.0,false,true,16,45
0.0,false,true,5,37
0.0,false,true,10,34
0.0,false,true,12,45
0.0,false,true,14,43
0.0,false,true,16,40
0.1,false,true,5,46
0.1,false,true,10,44
0.1,false,true,12,42
0.1,false,true,14,43
0.1,false,true,16,45
0.5,false,true,5,36
0.5,false,true,10,49
0.5,false,true,12,42
0.5,false,true,14,49
0.5,false,true,16,41
1.0,false,true,5,45
1.0,false,true,10,52
1.0,false,true,12,43
1.0,false,true,14,45
1.0,false,true,16,46
0.0,false,true,5,38
0.0,false,true,10,41
0.0,false,true,12,49
0.0,false,true,14,42
0.0,false,true,16,47
0.1,false,true,5,46
0.1,false,true,10,51
0.1,false,true,12,37
0.1,false,true,14,37
0.1,false,true,16,47
0.5,false,true,5,41
0.5,false,true,10,48
0.5,false,true,12,38
0.5,false,true,14,40
0.5,false,true,16,42
1.0,false,true,5,43
1.0,false,true,10,43
1.0,false,true,12,40
1.0,false,true,14,44
1.0,false,true,16,41
0.0,false,true,5,42
0.0,false,true,10,42
0.0,false,true,12,35
0.0,false,true,14,46
0.0,false,true,16,43
0.1,false,true,5,44
0.1,false,true,10,45
0.1,false,true,12,43
0.1,false,true,14,40
0.1,false,true,16,44
0.5,false,true,5,42
0.5,false,true,10,46
0.5,false,true,12,37
0.5,false,true,14,43
0.5,false,true,16,45
1.0,false,true,5,44
1.0,false,true,10,50
1.0,false,true,12,43
1.0,false,true,14,42
1.0,false,true,16,49
0.0,false,true,5,44
0.0,false,true,10,38
0.0,false,true,12,40
0.0,false,true,14,41
0.0,false,true,16,43
0.1,false,true,5,47
0.1,false,true,10,42
0.1,false,true,12,40
0.1,false,true,14,43
0.1,false,true,16,49
0.5,false,true,5,42
0.5,false,true,10,48
0.5,false,true,12,50
0.5,false,true,14,41
0.5,false,true,16,41
1.0,false,true,5,44
1.0,false,true,10,46
1.0,false,true,12,47
1.0,false,true,14,41
1.0,false,true,16,42
0.0,false,true,5,41
0.0,false,true,10,46
0.0,false,true,12,44
0.0,false,true,14,43
0.0,false,true,16,48
0.1,false,true,5,42
0.1,false,true,10,46
0.1,false,true,12,41
0.1,false,true,14,44
0.1,false,true,16,45
0.5,false,true,5,48
0.5,false,true,10,47
0.5,false,true,12,39
0.5,false,true,14,42
0.5,false,true,16,42
1.0,false,true,5,42
1.0,false,true,10,39
1.0,false,true,12,40
1.0,false,true,14,41
1.0,false,true,16,40
0.0,false,true,5,46
0.0,false,true,10,43
0.0,false,true,12,45
0.0,false,true,14,40
0.0,false,true,16,36
0.1,false,true,5,43
0.1,false,true,10,39
0.1,false,true,12,46
0.1,false,true,14,41
0.1,false,true,16,39
0.5,false,true,5,38
0.5,false,true,10,44
0.5,false,true,12,43
0.5,false,true,14,35
0.5,false,true,16,44
1.0,false,true,5,42
1.0,false,true,10,47
1.0,false,true,12,42
1.0,false,true,14,51
1.0,false,true,16,40
0.0,false,true,5,45
0.0,false,true,10,44
0.0,false,true,12,39
0.0,false,true,14,38
0.0,false,true,16,50
0.1,false,true,5,43
0.1,false,true,10,40
0.1,false,true,12,42
0.1,false,true,14,38
0.1,false,true,16,55
0.5,false,true,5,40
0.5,false,true,10,38
0.5,false,true,12,48
0.5,false,true,14,45
0.5,false,true,16,46
1.0,false,true,5,43
1.0,false,true,10,36
1.0,false,true,12,44
1.0,false,true,14,45
1.0,false,true,16,48
0.0,false,true,5,32
0.0,false,true,10,44
0.0,false,true,12,42
0.0,false,true,14,44
0.0,false,true,16,44
0.1,false,true,5,49
0.1,false,true,10,54
0.1,false,true,12,39
0.1,false,true,14,43
0.1,false,true,16,46
0.5,false,true,5,43
0.5,false,true,10,41
0.5,false,true,12,44
0.5,false,true,14,42
0.5,false,true,16,43
1.0,false,true,5,44
1.0,false,true,10,42
1.0,false,true,12,43
1.0,false,true,14,52
1.0,false,true,16,43
0.0,false,true,5,40
0.0,false,true,10,43
0.0,false,true,12,46
0.0,false,true,14,36
0.0,false,true,16,46
0.1,false,true,5,50
0.1,false,true,10,40
0.1,false,true,12,39
0.1,false,true,14,47
0.1,false,true,16,38
0.5,false,true,5,43
0.5,false,true,10,47
0.5,false,true,12,49
0.5,false,true,14,45
0.5,false,true,16,38
1.0,false,true,5,48
1.0,false,true,10,43
1.0,false,true,12,42
1.0,false,true,14,47
1.0,false,true,16,42
0.0,false,true,5,50
0.0,false,true,10,32
0.0,false,true,12,45
0.0,false,true,14,44
0.0,false,true,16,39
0.1,false,true,5,42
0.1,false,true,10,47
0.1,false,true,12,42
0.1,false,true,14,39
0.1,false,true,16,46
0.5,false,true,5,44
0.5,false,true,10,36
0.5,false,true,12,48
0.5,false,true,14,43
0.5,false,true,16,42
1.0,false,true,5,42
1.0,false,true,10,43
1.0,false,true,12,42
1.0,false,true,14,43
1.0,false,true,16,55
0.0,false,true,5,39
0.0,false,true,10,44
0.0,false,true,12,40
0.0,false,true,14,47
0.0,false,true,16,40
0.1,false,true,5,48
0.1,false,true,10,38
0.1,false,true,12,44
0.1,false,true,14,42
0.1,false,true,16,43
0.5,false,true,5,39
0.5,false,true,10,41
0.5,false,true,12,44
0.5,false,true,14,48
0.5,false,true,16,40
1.0,false,true,5,42
1.0,false,true,10,43
1.0,false,true,12,53
1.0,false,true,14,43
1.0,false,true,16,39
0.0,false,true,5,41
0.0,false,true,10,45
0.0,false,true,12,45
0.0,false,true,14,47
0.0,false,true,16,48
0.1,false,true,5,44
0.1,false,true,10,41
0.1,false,true,12,37
0.1,false,true,14,51
0.1,false,true,16,45
0.5,false,true,5,44
0.5,false,true,10,41
0.5,false,true,12,39
0.5,false,true,14,45
0.5,false,true,16,39
1.0,false,true,5,43
1.0,false,true,10,49
1.0,false,true,12,38
1.0,false,true,14,43
1.0,false,true,16,46
0.0,false,true,5,39
0.0,false,true,10,44
0.0,false,true,12,46
0.0,false,true,14,36
0.0,false,true,16,43
0.1,false,true,5,52
0.1,false,true,10,33
0.1,false,true,12,48
0.1,false,true,14,43
0.1,false,true,16,46
0.5,false,true,5,44
0.5,false,true,10,41
0.5,false,true,12,47
0.5,false,true,14,42
0.5,false,true,16,40
1.0,false,true,5,40
1.0,false,true,10,43
1.0,false,true,12,41
1.0,false,true,14,49
1.0,false,true,16,46
0.0,false,true,5,46
0.0,false,true,10,40
0.0,false,true,12,46
0.0,false,true,14,45
0.0,false,true,16,44
0.1,false,true,5,43
0.1,false,true,10,40
0.1,false,true,12,46
0.1,false,true,14,39
0.1,false,true,16,44
0.5,false,true,5,47
0.5,false,true,10,44
0.5,false,true,12,43
0.5,false,true,14,39
0.5,false,true,16,50
1.0,false,true,5,44
1.0,false,true,10,46
1.0,false,true,12,39
1.0,false,true,14,43
1.0,false,true,16,37
0.0,false,true,5,49
0.0,false,true,10,47
0.0,false,true,12,43
0.0,false,true,14,36
0.0,false,true,16,45
0.1,false,true,5,43
0.1,false,true,10,43
0.1,false,true,12,44
0.1,false,true,14,42
0.1,false,true,16,44
0.5,false,true,5,39
0.5,false,true,10,46
0.5,false,true,12,45
0.5,false,true,14,44
0.5,false,true,16,44
1.0,false,true,5,44
1.0,false,true,10,43
1.0,false,true,12,43
1.0,false,true,14,42
1.0,false,true,16,45
0.0,false,true,5,38
0.0,false,true,10,40
0.0,false,true,12,40
0.0,false,true,14,44
0.0,false,true,16,50
0.1,false,true,5,45
0.1,false,true,10,40
0.1,false,true,12,43
0.1,false,true,14,44
0.1,false,true,16,47
0.5,false,true,5,35
0.5,false,true,10,43
0.5,false,true,12,36
0.5,false,true,14,44
0.5,false,true,16,40
1.0,false,true,5,45
1.0,false,true,10,43
1.0,false,true,12,42
1.0,false,true,14,43
1.0,false,true,16,44
0.0,false,true,5,45
0.0,false,true,10,40
0.0,false,true,12,35
0.0,false,true,14,42
0.0,false,true,16,43
0.1,false,true,5,45
0.1,false,true,10,36
0.1,false,true,12,47
0.1,false,true,14,44
0.1,false,true,16,43
0.5,false,true,5,45
0.5,false,true,10,47
0.5,false,true,12,42
0.5,false,true,14,41
0.5,false,true,16,47
1.0,false,true,5,43
1.0,false,true,10,48
1.0,false,true,12,47
1.0,false,true,14,40
1.0,false,true,16,42
0.0,false,true,5,45
0.0,false,true,10,45
0.0,false,true,12,48
0.0,false,true,14,47
0.0,false,true,16,46
0.1,false,true,5,39
0.1,false,true,10,40
0.1,false,true,12,44
0.1,false,true,14,45
0.1,false,true,16,43
0.5,false,true,5,43
0.5,false,true,10,51
0.5,false,true,12,47
0.5,false,true,14,43
0.5,false,true,16,34
1.0,false,true,5,45
1.0,false,true,10,48
1.0,false,true,12,45
1.0,false,true,14,47
1.0,false,true,16,34
0.0,false,true,5,38
0.0,false,true,10,42
0.0,false,true,12,40
0.0,false,true,14,37
0.0,false,true,16,38
0.1,false,true,5,42
0.1,false,true,10,44
0.1,false,true,12,46
0.1,false,true,14,41
0.1,false,true,16,44
0.5,false,true,5,49
0.5,false,true,10,40
0.5,false,true,12,41
0.5,false,true,14,45
0.5,false,true,16,45
1.0,false,true,5,43
1.0,false,true,10,43
1.0,false,true,12,40
1.0,false,true,14,49
1.0,false,true,16,41
0.0,false,true,5,41
0.0,false,true,10,42
0.0,false,true,12,46
0.0,false,true,14,47
0.0,false,true,16,36
0.1,false,true,5,42
0.1,false,true,10,50
0.1,false,true,12,42
0.1,false,true,14,47
0.1,false,true,16,41
0.5,false,true,5,40
0.5,false,true,10,48
0.5,false,true,12,44
0.5,false,true,14,46
0.5,false,true,16,46
1.0,false,true,5,45
1.0,false,true,10,39
1.0,false,true,12,38
1.0,false,true,14,43
1.0,false,true,16,47
0.0,false,true,5,43
0.0,false,true,10,46
0.0,false,true,12,42
0.0,false,true,14,48
0.0,false,true,16,42
0.1,false,true,5,42
0.1,false,true,10,44
0.1,false,true,12,38
0.1,false,true,14,43
0.1,false,true,16,41
0.5,false,true,5,41
0.5,false,true,10,42
0.5,false,true,12,44
0.5,false,true,14,45
0.5,false,true,16,43
1.0,false,true,5,40
1.0,false,true,10,42
1.0,false,true,12,46
1.0,false,true,14,47
1.0,false,true,16,43
0.0,false,true,5,42
0.0,false,true,10,45
0.0,false,true,12,39
0.0,false,true,14,46
0.0,false,true,16,46
0.1,false,true,5,43
0.1,false,true,10,46
0.1,false,true,12,48
0.1,false,true,14,41
0.1,false,true,16,33
0.5,false,true,5,44
0.5,false,true,10,43
0.5,false,true,12,34
0.5,false,true,14,51
0.5,false,true,16,49
1.0,false,true,5,46
1.0,false,true,10,47
1.0,false,true,12,48
1.0,false,true,14,44
1.0,false,true,16,51
0.0,false,true,5,33
0.0,false,true,10,46
0.0,false,true,12,43
0.0,false,true,14,38
0.0,false,true,16,46
0.1,false,true,5,41
0.1,false,true,10,36
0.1,false,true,12,43
0.1,false,true,14,45
0.1,false,true,16,38
0.5,false,true,5,45
0.5,false,true,10,46
0.5,false,true,12,45
0.5,false,true,14,46
0.5,false,true,16,45
1.0,false,true,5,41
1.0,false,true,10,34
1.0,false,true,12,40
1.0,false,true,14,41
1.0,false,true,16,43
0.0,false,true,5,38
0.0,false,true,10,43
0.0,false,true,12,40
0.0,false,true,14,43
0.0,false,true,16,47
0.1,false,true,5,48
0.1,false,true,10,41
0.1,false,true,12,42
0.1,false,true,14,48
0.1,false,true,16,42
0.5,false,true,5,46
0.5,false,true,10,40
0.5,false,true,12,44
0.5,false,true,14,46
0.5,false,true,16,46
1.0,false,true,5,45
1.0,false,true,10,45
1.0,false,true,12,43
1.0,false,true,14,41
1.0,false,true,16,44
0.0,false,true,5,48
0.0,false,true,10,43
0.0,false,true,12,44
0.0,false,true,14,41
0.0,false,true,16,42
0.1,false,true,5,45
0.1,false,true,10,48
0.1,false,true,12,45
0.1,false,true,14,43
0.1,false,true,16,41
0.5,false,true,5,43
0.5,false,true,10,36
0.5,false,true,12,42
0.5,false,true,14,44
0.5,false,true,16,47
1.0,false,true,5,38
1.0,false,true,10,49
1.0,false,true,12,38
1.0,false,true,14,43
1.0,false,true,16,39
0.0,false,true,5,44
0.0,false,true,10,44
0.0,false,true,12,44
0.0,false,true,14,44
0.0,false,true,16,42
0.1,false,true,5,41
0.1,false,true,10,43
0.1,false,true,12,45
0.1,false,true,14,38
0.1,false,true,16,45
0.5,false,true,5,38
0.5,false,true,10,42
0.5,false,true,12,38
0.5,false,true,14,44
0.5,false,true,16,48
1.0,false,true,5,42
1.0,false,true,10,42
1.0,false,true,12,43
1.0,false,true,14,47
1.0,false,true,16,39
0.0,false,true,5,43
