rave_jitter,flatten,score
10.0,false,40
1000.0,false,36
0.0,true,44
5.0,true,38
10.0,true,41
0.0,false,41
10.0,false,37
1000.0,false,36
0.0,true,31
5.0,true,39
10.0,true,33
0.0,false,45
10.0,false,37
1000.0,false,35
0.0,true,40
5.0,true,40
10.0,true,44
0.0,false,31
10.0,false,42
1000.0,false,40
0.0,true,34
5.0,true,39
10.0,true,34
0.0,false,29
10.0,false,39
1000.0,false,46
0.0,true,43
5.0,true,37
10.0,true,37
0.0,false,43
10.0,false,41
1000.0,false,42
0.0,true,46
5.0,true,43
10.0,true,35
0.0,false,35
10.0,false,41
1000.0,false,41
0.0,true,32
5.0,true,36
10.0,true,37
0.0,false,44
10.0,false,45
1000.0,false,47
0.0,true,29
5.0,true,46
10.0,true,29
0.0,false,43
10.0,false,42
1000.0,false,40
0.0,true,39
5.0,true,34
10.0,true,37
0.0,false,32
10.0,false,44
1000.0,false,32
0.0,true,42
5.0,true,33
10.0,true,41
0.0,false,39
10.0,false,40
1000.0,false,44
0.0,true,39
5.0,true,43
10.0,true,40
0.0,false,43
10.0,false,39
1000.0,false,45
0.0,true,35
5.0,true,46
10.0,true,38
0.0,false,40
10.0,false,50
1000.0,false,38
0.0,true,34
5.0,true,31
10.0,true,31
0.0,false,27
10.0,false,54
1000.0,false,25
0.0,true,38
5.0,true,41
10.0,true,34
0.0,false,36
10.0,false,33
1000.0,false,39
0.0,true,40
5.0,true,45
10.0,true,45
0.0,false,37
10.0,false,33
1000.0,false,35
0.0,true,45
5.0,true,36
10.0,true,42
0.0,false,42
10.0,false,48
1000.0,false,41
0.0,true,38
5.0,true,34
10.0,true,37
0.0,false,42
10.0,false,39
1000.0,false,46
0.0,true,41
5.0,true,38
10.0,true,41
0.0,false,41
10.0,false,48
1000.0,false,31
0.0,true,34
5.0,true,41
10.0,true,42
0.0,false,40
10.0,false,34
1000.0,false,41
0.0,true,35
5.0,true,45
10.0,true,41
0.0,false,43
10.0,false,40
1000.0,false,47
0.0,true,32
5.0,true,35
10.0,true,42
0.0,false,42
10.0,false,46
1000.0,false,40
0.0,true,44
5.0,true,25
10.0,true,31
0.0,false,44
10.0,false,38
1000.0,false,42
0.0,true,35
5.0,true,40
10.0,true,33
0.0,false,42
10.0,false,39
1000.0,false,37
0.0,true,39
5.0,true,44
10.0,true,35
0.0,false,38
10.0,false,39
1000.0,false,33
0.0,true,38
5.0,true,29
10.0,true,35
0.0,false,43
10.0,false,28
1000.0,false,34
0.0,true,45
5.0,true,32
10.0,true,34
0.0,false,40
10.0,false,39
1000.0,false,49
0.0,true,44
5.0,true,38
10.0,true,37
0.0,false,45
10.0,false,40
1000.0,false,37
0.0,true,34
5.0,true,28
10.0,true,43
0.0,false,39
10.0,false,36
1000.0,false,41
0.0,true,36
5.0,true,37
10.0,true,34
0.0,false,39
10.0,false,38
1000.0,false,33
0.0,true,33
5.0,true,37
10.0,true,33
0.0,false,40
10.0,false,36
1000.0,false,42
0.0,true,35
5.0,true,39
10.0,true,43
0.0,false,41
10.0,false,35
1000.0,false,37
0.0,true,46
5.0,true,35
10.0,true,35
0.0,false,29
10.0,false,38
1000.0,false,50
0.0,true,39
5.0,true,42
10.0,true,31
0.0,false,37
10.0,false,41
1000.0,false,42
0.0,true,28
5.0,true,46
10.0,true,45
0.0,false,44
10.0,false,37
1000.0,false,32
0.0,true,31
5.0,true,25
10.0,true,36
0.0,false,29
10.0,false,35
1000.0,false,40
0.0,true,33
5.0,true,38
10.0,true,32
0.0,false,38
10.0,false,40
1000.0,false,38
0.0,true,38
5.0,true,48
10.0,true,38
0.0,false,36
10.0,false,37
1000.0,false,42
0.0,true,38
5.0,true,32
10.0,true,34
0.0,false,37
10.0,false,40
1000.0,false,44
0.0,true,40
5.0,true,40
10.0,true,38
0.0,false,40
10.0,false,38
1000.0,false,31
0.0,true,37
5.0,true,33
10.0,true,32
0.0,false,41
10.0,false,38
1000.0,false,43
0.0,true,34
5.0,true,31
10.0,true,40
0.0,false,46
10.0,false,40
1000.0,false,30
0.0,true,32
5.0,true,39
10.0,true,37
0.0,false,44
10.0,false,48
1000.0,false,37
0.0,true,41
5.0,true,32
10.0,true,34
0.0,false,45
10.0,false,41
1000.0,false,40
0.0,true,38
5.0,true,39
10.0,true,29
0.0,false,42
10.0,false,39
1000.0,false,36
0.0,true,38
5.0,true,43
10.0,true,33
0.0,false,29
10.0,false,36
1000.0,false,38
0.0,true,41
5.0,true,39
10.0,true,37
0.0,false,44
10.0,false,37
1000.0,false,45
0.0,true,44
5.0,true,38
10.0,true,46
0.0,false,38
10.0,false,42
1000.0,false,47
0.0,true,24
5.0,true,38
10.0,true,49
0.0,false,45
10.0,false,47
1000.0,false,29
0.0,true,35
5.0,true,37
10.0,true,40
0.0,false,31
10.0,false,39
1000.0,false,34
0.0,true,46
5.0,true,36
10.0,true,38
0.0,false,45
10.0,false,40
1000.0,false,28
0.0,true,33
5.0,true,44
10.0,true,45
0.0,false,38
10.0,false,30
1000.0,false,34
0.0,true,36
5.0,true,36
10.0,true,38
0.0,false,40
10.0,false,41
1000.0,false,31
0.0,true,27
5.0,true,38
10.0,true,42
0.0,false,46
10.0,false,35
1000.0,false,27
0.0,true,45
5.0,true,41
10.0,true,32
0.0,false,31
10.0,false,41
1000.0,false,37
0.0,true,37
5.0,true,37
10.0,true,39
0.0,false,36
10.0,false,42
1000.0,false,37
0.0,true,42
5.0,true,51
10.0,true,40
0.0,false,46
10.0,false,33
1000.0,false,32
0.0,true,32
5.0,true,37
10.0,true,36
0.0,false,41
10.0,false,32
1000.0,false,38
0.0,true,36
5.0,true,30
10.0,true,39
0.0,false,36
10.0,false,37
1000.0,false,48
0.0,true,37
5.0,true,37
10.0,true,36
0.0,false,27
10.0,false,41
1000.0,false,37
0.0,true,38
5.0,true,38
10.0,true,38
0.0,false,34
10.0,false,35
1000.0,false,44
0.0,true,36
5.0,true,31
10.0,true,37
0.0,false,36
10.0,false,40
1000.0,false,37
0.0,true,44
5.0,true,40
10.0,true,32
0.0,false,48
10.0,false,43
1000.0,false,41
0.0,true,25
5.0,true,44
10.0,true,33
0.0,false,40
10.0,false,40
1000.0,false,38
0.0,true,29
5.0,true,43
10.0,true,33
0.0,false,42
10.0,false,34
1000.0,false,47
0.0,true,35
5.0,true,43
10.0,true,36
0.0,false,35
10.0,false,43
1000.0,false,36
0.0,true,40
5.0,true,40
10.0,true,40
0.0,false,30
10.0,false,35
1000.0,false,47
0.0,true,33
5.0,true,37
10.0,true,40
0.0,false,42
10.0,false,43
1000.0,false,42
0.0,true,37
5.0,true,32
10.0,true,39
0.0,false,40
10.0,false,40
1000.0,false,37
0.0,true,41
5.0,true,39
10.0,true,36
0.0,false,31
10.0,false,50
1000.0,false,44
0.0,true,38
5.0,true,51
10.0,true,43
0.0,false,33
10.0,false,41
1000.0,false,45
0.0,true,33
5.0,true,35
10.0,true,32
0.0,false,41
10.0,false,33
1000.0,false,35
0.0,true,36
5.0,true,42
10.0,true,35
0.0,false,38
10.0,false,33
1000.0,false,34
0.0,true,33
5.0,true,36
10.0,true,32
0.0,false,38
10.0,false,34
1000.0,false,42
0.0,true,42
5.0,true,41
10.0,true,41
0.0,false,42
10.0,false,35
1000.0,false,31
0.0,true,34
5.0,true,31
10.0,true,28
0.0,false,34
10.0,false,40
1000.0,false,46
0.0,true,31
5.0,true,40
10.0,true,39
0.0,false,37
10.0,false,39
1000.0,false,35
0.0,true,38
5.0,true,34
10.0,true,43
0.0,false,45
10.0,false,50
1000.0,false,39
0.0,true,31
5.0,true,31
10.0,true,43
0.0,false,33
10.0,false,47
1000.0,false,44
0.0,true,48
5.0,true,43
10.0,true,42
0.0,false,40
10.0,false,43
1000.0,false,31
0.0,true,41
5.0,true,37
10.0,true,46
0.0,false,44
10.0,false,41
1000.0,false,38
0.0,true,40
5.0,true,42
10.0,true,31
0.0,false,33
10.0,false,37
1000.0,false,35
0.0,true,44
5.0,true,31
10.0,true,38
0.0,false,36
10.0,false,36
1000.0,false,35
0.0,true,42
5.0,true,39
10.0,true,45
0.0,false,39
10.0,false,41
1000.0,false,39
0.0,true,39
5.0,true,31
10.0,true,34
0.0,false,43
10.0,false,39
1000.0,false,36
0.0,true,39
5.0,true,39
10.0,true,40
0.0,false,33
10.0,false,32
1000.0,false,38
0.0,true,43
5.0,true,31
10.0,true,48
0.0,false,35
10.0,false,40
1000.0,false,33
0.0,true,38
5.0,true,46
10.0,true,41
0.0,false,37
10.0,false,39
1000.0,false,47
0.0,true,39
5.0,true,31
10.0,true,34
0.0,false,34
10.0,false,29
1000.0,false,34
0.0,true,35
5.0,true,38
10.0,true,37
0.0,false,48
10.0,false,35
1000.0,false,41
0.0,true,34
5.0,true,41
10.0,true,43
0.0,false,46
10.0,false,42
1000.0,false,38
0.0,true,38
5.0,true,29
10.0,true,33
0.0,false,41
10.0,false,32
1000.0,false,40
0.0,true,38
5.0,true,46
10.0,true,38
0.0,false,47
10.0,false,39
1000.0,false,40
0.0,true,36
5.0,true,34
10.0,true,42
0.0,false,38
10.0,false,42
1000.0,false,32
0.0,true,29
5.0,true,31
10.0,true,35
0.0,false,35
10.0,false,30
1000.0,false,45
0.0,true,38
5.0,true,35
10.0,true,43
0.0,false,36
10.0,false,34
1000.0,false,30
0.0,true,35
5.0,true,43
10.0,true,30
0.0,false,45
10.0,false,46
1000.0,false,40
0.0,true,34
5.0,true,36
10.0,true,37
0.0,false,34
10.0,false,42
1000.0,false,34
0.0,true,31
5.0,true,43
10.0,true,43
0.0,false,37
10.0,false,40
1000.0,false,24
0.0,true,45
5.0,true,43
10.0,true,37
0.0,false,52
10.0,false,43
1000.0,false,40
0.0,true,49
5.0,true,29
10.0,true,43
0.0,false,34
10.0,false,25
1000.0,false,39
0.0,true,35
5.0,true,31
10.0,true,40
0.0,false,35
10.0,false,45
1000.0,false,48
0.0,true,39
5.0,true,31
10.0,true,39
0.0,false,38
10.0,false,41
1000.0,false,29
0.0,true,31
5.0,true,37
10.0,true,40
0.0,false,31
10.0,false,45
1000.0,false,30
0.0,true,41
5.0,true,46
10.0,true,40
0.0,false,35
10.0,false,42
1000.0,false,46
0.0,true,44
5.0,true,37
10.0,true,34
0.0,false,26
10.0,false,40
1000.0,false,27
0.0,true,36
5.0,true,31
10.0,true,31
0.0,false,28
10.0,false,32
1000.0,false,30
0.0,true,35
5.0,true,39
10.0,true,42
0.0,false,37
10.0,false,32
1000.0,false,43
0.0,true,46
5.0,true,38
10.0,true,39
0.0,false,27
10.0,false,40
1000.0,false,36
0.0,true,44
5.0,true,26
10.0,true,43
0.0,false,32
10.0,false,26
1000.0,false,46
0.0,true,47
5.0,true,27
10.0,true,48
0.0,false,28
10.0,false,39
1000.0,false,41
0.0,true,30
5.0,true,36
10.0,true,36
0.0,false,39
10.0,false,39
1000.0,false,38
0.0,true,39
5.0,true,45
10.0,true,37
0.0,false,36
10.0,false,35
1000.0,false,30
0.0,true,36
5.0,true,49
10.0,true,44
0.0,false,39
10.0,false,29
1000.0,false,40
0.0,true,39
5.0,true,43
10.0,true,44
0.0,false,34
10.0,false,42
1000.0,false,29
0.0,true,42
5.0,true,41
10.0,true,38
0.0,false,39
10.0,false,37
1000.0,false,42
0.0,true,38
5.0,true,40
10.0,true,45
0.0,false,35
10.0,false,37
1000.0,false,42
0.0,true,38
5.0,true,34
10.0,true,38
0.0,false,38
10.0,false,32
1000.0,false,43
0.0,true,34
5.0,true,37
10.0,true,37
0.0,false,47
10.0,false,52
1000.0,false,42
0.0,true,30
5.0,true,39
10.0,true,44
0.0,false,33
10.0,false,29
1000.0,false,44
0.0,true,41
5.0,true,31
10.0,true,40
0.0,false,44
10.0,false,29
1000.0,false,41
0.0,true,26
5.0,true,39
10.0,true,40
0.0,false,39
10.0,false,42
1000.0,false,46
0.0,true,33
5.0,true,33
10.0,true,35
0.0,false,39
10.0,false,50
1000.0,false,37
0.0,true,37
5.0,true,37
10.0,true,35
0.0,false,36
10.0,false,32
1000.0,false,41
0.0,true,31
5.0,true,36
10.0,true,35
0.0,false,38
10.0,false,36
1000.0,false,37
0.0,true,32
5.0,true,24
10.0,true,44
0.0,false,44
10.0,false,38
1000.0,false,42
0.0,true,25
5.0,true,33
10.0,true,36
0.0,false,38
10.0,false,41
1000.0,false,42
0.0,true,32
5.0,true,36
10.0,true,45
0.0,false,39
10.0,false,40
1000.0,false,49
0.0,true,38
5.0,true,40
10.0,true,31
0.0,false,42
10.0,false,36
1000.0,false,29
0.0,true,41
5.0,true,36
10.0,true,44
0.0,false,33
10.0,false,38
1000.0,false,45
0.0,true,26
5.0,true,29
10.0,true,35
0.0,false,32
10.0,false,43
1000.0,false,48
0.0,true,36
5.0,true,41
10.0,true,40
0.0,false,40
10.0,false,45
1000.0,false,30
0.0,true,30
5.0,true,37
10.0,true,38
0.0,false,37
10.0,false,30
1000.0,false,40
0.0,true,30
5.0,true,39
10.0,true,33
0.0,false,32
10.0,false,42
1000.0,false,34
0.0,true,45
5.0,true,38
10.0,true,45
0.0,false,25
10.0,false,35
1000.0,false,45
0.0,true,40
5.0,true,32
10.0,true,34
0.0,false,38
10.0,false,41
1000.0,false,38
0.0,true,46
5.0,true,43
10.0,true,36
0.0,false,36
10.0,false,35
1000.0,false,36
0.0,true,33
5.0,true,33
10.0,true,41
0.0,false,38
10.0,false,42
1000.0,false,40
0.0,true,33
5.0,true,37
10.0,true,32
0.0,false,42
10.0,false,46
1000.0,false,28
0.0,true,39
5.0,true,27
10.0,true,40
0.0,false,41
10.0,false,35
1000.0,false,40
0.0,true,39
5.0,true,40
10.0,true,41
0.0,false,34
10.0,false,44
1000.0,false,48
0.0,true,38
5.0,true,28
10.0,true,40
0.0,false,42
10.0,false,46
1000.0,false,40
0.0,true,37
5.0,true,28
10.0,true,34
0.0,false,34
10.0,false,39
1000.0,false,47
0.0,true,43
5.0,true,28
10.0,true,47
0.0,false,34
10.0,false,51
1000.0,false,37
0.0,true,40
5.0,true,39
10.0,true,46
0.0,false,41
10.0,false,33
1000.0,false,33
0.0,true,30
5.0,true,38
10.0,true,44
0.0,false,40
10.0,false,44
1000.0,false,34
0.0,true,47
5.0,true,32
10.0,true,36
0.0,false,37
10.0,false,34
1000.0,false,42
0.0,true,37
5.0,true,34
10.0,true,38
0.0,false,36
10.0,false,37
1000.0,false,25
0.0,true,38
5.0,true,29
10.0,true,42
0.0,false,36
10.0,false,39
1000.0,false,32
0.0,true,36
5.0,true,40
10.0,true,38
0.0,false,35
10.0,false,30
1000.0,false,35
0.0,true,36
5.0,true,31
10.0,true,38
0.0,false,44
10.0,false,39
1000.0,false,40
0.0,true,46
5.0,true,42
10.0,true,45
0.0,false,47
10.0,false,39
1000.0,false,31
0.0,true,33
5.0,true,37
10.0,true,48
0.0,false,40
10.0,false,34
1000.0,false,39
0.0,true,43
5.0,true,33
10.0,true,41
0.0,false,40
10.0,false,30
1000.0,false,41
0.0,true,39
5.0,true,39
10.0,true,41
0.0,false,38
10.0,false,40
1000.0,false,38
0.0,true,35
5.0,true,36
10.0,true,31
0.0,false,40
10.0,false,43
1000.0,false,40
0.0,true,33
5.0,true,43
10.0,true,39
0.0,false,38
10.0,false,50
1000.0,false,44
0.0,true,27
5.0,true,39
10.0,true,31
0.0,false,32
10.0,false,39
1000.0,false,43
0.0,true,37
5.0,true,45
10.0,true,42
0.0,false,26
10.0,false,33
1000.0,false,32
0.0,true,40
5.0,true,36
10.0,true,38
0.0,false,43
10.0,false,36
1000.0,false,36
0.0,true,35
5.0,true,43
10.0,true,45
0.0,false,46
10.0,false,44
1000.0,false,42
0.0,true,32
5.0,true,40
10.0,true,37
0.0,false,40
10.0,false,45
1000.0,false,40
0.0,true,38
5.0,true,33
10.0,true,36
0.0,false,37
10.0,false,30
1000.0,false,35
0.0,true,44
5.0,true,43
10.0,true,43
0.0,false,39
10.0,false,30
1000.0,false,35
0.0,true,33
5.0,true,32
10.0,true,41
0.0,false,29
10.0,false,31
1000.0,false,40
0.0,true,35
5.0,true,29
10.0,true,49
0.0,false,40
10.0,false,37
1000.0,false,21
0.0,true,34
5.0,true,43
10.0,true,42
0.0,false,37
10.0,false,40
1000.0,false,46
0.0,true,38
5.0,true,46
10.0,true,40
0.0,false,36
10.0,false,45
1000.0,false,42
0.0,true,35
5.0,true,38
10.0,true,35
0.0,false,32
10.0,false,43
1000.0,false,42
0.0,true,38
5.0,true,42
10.0,true,41
0.0,false,37
10.0,false,42
1000.0,false,51
0.0,true,36
5.0,true,42
10.0,true,25
0.0,false,35
10.0,false,47
1000.0,false,40
0.0,true,37
5.0,true,37
10.0,true,43
0.0,false,29
10.0,false,37
1000.0,false,39
0.0,true,30
5.0,true,46
10.0,true,46
0.0,false,44
10.0,false,35
1000.0,false,43
0.0,true,34
5.0,true,38
10.0,true,46
0.0,false,44
10.0,false,46
1000.0,false,44
0.0,true,34
5.0,true,41
10.0,true,44
0.0,false,39
10.0,false,36
1000.0,false,42
0.0,true,37
5.0,true,32
10.0,true,37
0.0,false,47
10.0,false,35
1000.0,false,46
0.0,true,36
5.0,true,40
10.0,true,30
0.0,false,35
10.0,false,48
1000.0,false,40
0.0,true,36
5.0,true,32
10.0,true,41
0.0,false,38
10.0,false,40
1000.0,false,42
0.0,true,32
5.0,true,48
10.0,true,32
0.0,false,39
10.0,false,41
1000.0,false,43
0.0,true,41
5.0,true,41
10.0,true,30
0.0,false,47
10.0,false,41
1000.0,false,53
0.0,true,41
5.0,true,37
10.0,true,41
0.0,false,33
10.0,false,34
1000.0,false,42
0.0,true,41
5.0,true,28
10.0,true,47
0.0,false,34
10.0,false,49
1000.0,false,39
0.0,true,30
5.0,true,40
10.0,true,35
0.0,false,33
10.0,false,43
1000.0,false,37
0.0,true,40
5.0,true,41
10.0,true,38
0.0,false,40
10.0,false,46
1000.0,false,31
0.0,true,43
5.0,true,32
10.0,true,44
0.0,false,29
10.0,false,45
1000.0,false,45
0.0,true,39
5.0,true,35
10.0,true,43
0.0,false,27
10.0,false,41
1000.0,false,41
0.0,true,37
5.0,true,43
10.0,true,34
0.0,false,37
10.0,false,43
1000.0,false,38
0.0,true,40
5.0,true,39
10.0,true,41
0.0,false,44
10.0,false,41
1000.0,false,31
0.0,true,37
5.0,true,32
10.0,true,40
0.0,false,38
10.0,false,37
1000.0,false,42
0.0,true,38
5.0,true,42
10.0,true,41
0.0,false,45
10.0,false,44
1000.0,false,37
0.0,true,38
5.0,true,35
10.0,true,40
0.0,false,38
10.0,false,38
1000.0,false,41
0.0,true,33
5.0,true,32
10.0,true,35
0.0,false,38
10.0,false,34
1000.0,false,35
0.0,true,35
5.0,true,38
10.0,true,44
0.0,false,37
10.0,false,47
1000.0,false,42
0.0,true,36
5.0,true,37
10.0,true,37
0.0,false,35
10.0,false,45
1000.0,false,48
0.0,true,37
5.0,true,45
10.0,true,33
0.0,false,32
10.0,false,30
1000.0,false,45
0.0,true,35
5.0,true,36
10.0,true,41
0.0,false,42
10.0,false,38
1000.0,false,25
0.0,true,46
5.0,true,35
10.0,true,35
0.0,false,29
10.0,false,30
1000.0,false,42
0.0,true,30
5.0,true,34
10.0,true,43
0.0,false,44
10.0,false,46
1000.0,false,46
0.0,true,38
5.0,true,39
10.0,true,38
0.0,false,26
10.0,false,43
1000.0,false,31
0.0,true,31
5.0,true,41
10.0,true,35
0.0,false,29
10.0,false,31
1000.0,false,41
0.0,true,40
5.0,true,41
10.0,true,40
0.0,false,33
10.0,false,38
1000.0,false,42
0.0,true,37
5.0,true,43
10.0,true,37
0.0,false,34
10.0,false,36
1000.0,false,42
0.0,true,36
5.0,true,48
10.0,true,42
0.0,false,38
10.0,false,37
1000.0,false,35
0.0,true,35
5.0,true,34
10.0,true,41
0.0,false,30
10.0,false,41
1000.0,false,34
0.0,true,36
5.0,true,38
10.0,true,36
0.0,false,42
10.0,false,48
1000.0,false,49
0.0,true,42
5.0,true,39
10.0,true,35
0.0,false,32
10.0,false,32
1000.0,false,48
0.0,true,35
5.0,true,33
10.0,true,43
0.0,false,39
10.0,false,39
1000.0,false,42
0.0,true,41
5.0,true,37
10.0,true,40
0.0,false,28
10.0,false,40
1000.0,false,40
0.0,true,36
5.0,true,38
10.0,true,43
0.0,false,37
10.0,false,50
1000.0,false,40
0.0,true,42
5.0,true,39
10.0,true,38
0.0,false,35
10.0,false,42
1000.0,false,37
0.0,true,29
5.0,true,35
10.0,true,33
0.0,false,43
10.0,false,43
1000.0,false,40
0.0,true,34
5.0,true,49
10.0,true,39
0.0,false,36
10.0,false,39
1000.0,false,35
0.0,true,38
5.0,true,35
10.0,true,39
0.0,false,37
10.0,false,42
1000.0,false,44
0.0,true,38
5.0,true,39
10.0,true,37
0.0,false,33
10.0,false,46
1000.0,false,46
0.0,true,37
5.0,true,51
10.0,true,36
0.0,false,37
10.0,false,46
1000.0,false,53
0.0,true,43
5.0,true,39
10.0,true,40
